published_at,body,summary,title,url
2021-09-10T14:57:28Z,#Θεσσαλονίκη: Στο εδώλιο και επιχειρηματίας για την απαγωγή και τον βιασμό της 10χρονης Μαρκέλλας https://t.co/bU8DHLbpm5 #salonikaplus  #MeToo   #Greece #BigBrotherGR #AgriesMelisses #PameDanai #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #MegaKalimera #toprwino #Tlive  #TheBachelorGR,,,https://twitter.com/
2021-09-10T14:40:56Z,Αθωώνουμε έναν βιαστή; Αλήθεια τώρα; Έλεος ρε γαμώτο! Ντροπή! #MeToo https://t.co/o9haAAdUob,,,https://twitter.com/
2021-09-10T14:08:28Z,"Υπάρχει βέβαια το τεκμήριο της αθωότητας αλλά, μέχρι να ξεκαθαρίσει η κατάσταση θα είναι κάκιστο για τον Σύνδεσμο να είναι στις προπονήσεις, τα αποδυτήρια, πόσο μάλλον να παίξει, ένας κατηγορούμενος για βιασμό. Αν αθωωθεί ας πούμε εντάξει, μέχρι τότε ατομικές. #MeToo #metoogr https://t.co/Ig9CtyD0Ne",,,https://twitter.com/
2021-09-10T13:10:52Z,"#MeToo #metooGR #Λιγναδης #Ηλιουπολη #σεμεδο #καλλιανος #παιδικη_εργασια #16χρονα #16χρονων Ότι προσπαθούν να γίνουμρ η Ταϋλάνδη της Ευρώπης και να μας φαίνεται φυσιολογικό ειναι ξεκάθαρο. Όσο μειώνεται ο αριθμός των βαλκανικών χωρών που περνάν τέτοιες πρακτικές, ⬇️ https://t.co/VztdzbojKC",,,https://twitter.com/
2021-09-10T13:05:23Z,Ας θυμηθούμε ότι αν η  “ηθική” δεξιά κάπως μίλησε υπέρ των γυναικών την περίοδο του #MeToo την περίπτωση Λιγνάδη σχεδόν την έκανε γαργάρα. Πρώτον ο Λιγάνδης ήταν σαρξ εκ της σαρκός τους και δεύτερον όπως φαίνεται  τα περισσότερα παιδιά  που κακοποίησε ήταν από άλλες χώρες.,,,https://twitter.com/
2021-09-10T12:55:17Z,"Επαινεί η Στεφανίδου την Ελληνική Αστυνομία και τους τεχνικούς της ως αξιολογότατους,γιατί ανακάλυψαν πριν 5 χρόνια, ένα e-mail της κοπέλας που δέχθηκε επίθεση με βιτριόλι στον υπολογιστή της κατηγορούμενης.Με του #Λιγναδης; #MeToo #metooGR",,,https://twitter.com/
2021-09-10T11:44:49Z,"Γράφει ο άλλος ""θέλετε να βγάλετε όλη σας την εκδικητικότητα στον #Φιλιππιδης λες κ αν πήγαινε σπιτι του με βραχιολάκια ως την εκδίκαση, κάτι θα γινότανε"".
Οχι ρε μαλάκα. Δεν ειναι εκδικητικότητα,είναι Δικαιοσύνη. Κοντά τα χέρια σας λοιπόν,διότι πλέον αλλάζουν τα πράματα! #MeToo",,,https://twitter.com/
2021-09-10T11:19:48Z,"Έχουμε κανά νέο για #Τσαγκρώνης;
Πως πάνε τα κέφια στον εισαγγελέα;
 #MeToo #metooGR",,,https://twitter.com/
2021-09-10T10:45:02Z,"Μην έχετε απορίες ,

όλοι εσείς, γιατί η κοινωνία ακούει το #MeToo &amp; βάζει τα ""γέλια"", κάνει πλάκα &amp; αστεία τέτοιου τύπου στην Ελλάδα της  Δεξιάς ...

Γιατί τύποι σαν τον Μπέρια απλά, κάνουν τους ""αβανταδορους"" στους παιδεραστές, βιαστές, παιδοφιλους &amp; πληρώνονται αδρά ___ https://t.co/8jftgbMYx2",,,https://twitter.com/
2021-09-10T09:26:18Z,#εργασια_δομες_ανηλικων Θα το δεχτουμε &amp; αυτο με ησυχη τη συνειδηση μας παρακολουθωντας #BigBrotherGR Δεν αφορα τα '' δικα μας '' παιδια #που_ειναι_τα_παιδια #λιγναδης #metooGR #MeToo #παιδικη_εργασια #Δικαιωματα_του_Παιδιου #παιδεραστια #κακοποιηση https://t.co/PhcvL14pwB,,,https://twitter.com/
2021-09-10T07:53:10Z,Συγκεντρώσεις και #πορείες #σήμερα στο κέντρο της Θεσσαλονίκης https://t.co/L7dr0i8IXn #salonikaplus  #MeToo   #Greece #BigBrotherGR #AgriesMelisses #PameDanai #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #MegaKalimera #toprwino #Tlive #Θεσσαλονίκη #TheBachelorGR,,,https://twitter.com/
2021-09-10T07:50:42Z,"#MeToo
#metooGR
-just world hypothesis- 

""Από τι ακριβώς μας προστατεύει η «υπόθεση ενός δίκαιου κόσμου» (The just world hypothesis) και για πόσο;

Τι θα γινόταν άραγε εάν την αμφισβητούσαμε;

Πόσο ευάλωτους θα μας άφηνε κάτι τέτοιο;"" https://t.co/jXnwwQ5nOM",,,https://twitter.com/
2021-09-10T07:48:34Z,Πρεμιέρα κινητοποιήσεων: #Πορεία υγειονομικών στο #κέντρο της Θεσσαλονίκης https://t.co/UDgmEEKUaQ #salonikaplus  #MeToo   #Greece #BigBrotherGR #AgriesMelisses #PameDanai #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #MegaKalimera #toprwino #Tlive #Θεσσαλονίκη #TheBachelorGR,,,https://twitter.com/
2021-09-10T07:48:14Z,"#MeToo α λα καρτ. Περιμένουμε σαγόνια, ασβέστη και τα υπόλοιπα τρωκτικά του βόθρου να δώσουν αναλυτικό ρεπόρτ #sdnaxeftiles #vazeletta #ουτε_κλικ_στο_βοθρο https://t.co/mkMgmNEYpS",,,https://twitter.com/
2021-09-10T07:28:49Z,Ξεσπά ο Όμηρος Ευστρατιάδης μετά τις προκλητικές δηλώσεις για το #metoo – “Με στρίμωξαν σε ένα κλαμπ δύο δημοσιογράφοι και άρχισαν” https://t.co/2VgXa8CLDz,,,https://twitter.com/
2021-09-10T06:31:36Z,"ΚΛΕΊΣΤΕ ΤΟΝ.
ΧΕΙΡΌΤΕΡΟ ΤΟ ΚΆΝΕΙ. #MEGAKALIMERA #metooGR #TOPRWINO #PAMEDANAI #PROINIATIKA #metoo https://t.co/oCIyksPqH2",,,https://twitter.com/
2021-09-10T06:24:04Z,#MegaKalimera ποιος είναι ο όμηρος Ευστρατιάδης? Κ γιατί πρέπει να ξανά ακούσουμε τις απόψεις του? #metoo #metooGR,,,https://twitter.com/
2021-09-10T06:06:11Z,"#Σεισμός 3,4 Ρίχτερ ταρακούνησε την #Ηγουμενίτσα https://t.co/kLU8ffB83X #salonikaplus  #MeToo   #Greece #BigBrotherGR #AgriesMelisses #PameDanai #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #MegaKalimera #toprwino #Tlive #Θεσσαλονίκη #TheBachelorGR",,,https://twitter.com/
2021-09-10T05:09:48Z,Δεν τα κατάφερε η #Σάκκαρη – Έμεινε εκτός τελικού στο US OPEN https://t.co/lyzsq2w3Bx #salonikaplus  #MeToo   #Greece #BigBrotherGR #AgriesMelisses #PameDanai #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #MegaKalimera #toprwino #Tlive #Θεσσαλονίκη #TheBachelorGR,,,https://twitter.com/
2021-09-10T05:03:36Z,Η πλατεία του Μεγάρου Μουσικής μετατρέπεται σε πασαρέλα… https://t.co/6vTSKo4hyE #salonikaplus  #MeToo   #Greece #BigBrotherGR #AgriesMelisses #PameDanai #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #MegaKalimera #toprwino #Tlive #Θεσσαλονίκη #TheBachelorGR,,,https://twitter.com/
2021-09-10T00:56:58Z,Έκκληση στους κατοίκους του κέντρου να μην κατεβάζουν σκουπίδια το επόμενο τριήμερο https://t.co/znPzUqffNu #salonikaplus  #MeToo   #Greece #BigBrotherGR #AgriesMelisses #PameDanai #ΕΜΒΟΛΙΑΣΜΟΙ  #lifestyle #happyday #MegaKalimera #toprwino #Tlive #Θεσσαλονίκη #TheBachelorGR,,,https://twitter.com/
2021-09-09T22:31:17Z,"Η #κυβερνηση_Μητσοτακη δεν σέβεται την γυναίκα #γυναικοκτονια #συνεδριο_γονιμοτητας
δεν σέβεται τα παιδιά #Λιγναδης
δεν σέβεται τα θύματα βιασμού #metoo
Ας μη γίνουμε η Ταϊλάνδη της Ευρώπης.

Πείτε όχι στην παιδική κ εφηβική εργασία των φιλοξενουμενων σε δομές φροντίδας ανήλικων! https://t.co/uOUXmLKioY",,,https://twitter.com/
